Designator,Mid X,Mid Y,Rotation,Layer
U25,-34.975,51.2,90.0,bottom
U26,30.75,56.0,0.0,bottom
U28,-33.909,54.102,0.0,bottom
U29,-44.137999,45.9105,0.0,bottom
U3,-10.986351,18.019347,180.0,bottom
U30,-43.5,8.0,0.0,bottom
U31,-43.5,14.0,0.0,bottom
U32,-20.08,35.94,0.0,bottom
U4,-22.8925,56.1425,0.0,bottom
U5,1.25,46.45,0.0,bottom
U6,-27.92,32.7825,270.0,bottom
U7,15.7875,13.9,270.0,bottom
U8,0.0,25.0,0.0,bottom
U9,54.5,6.25,180.0,top
Y1,-23.6725,60.8925,180.0,bottom
Y2,-23.39,11.78,270.0,bottom
Y3,-8.725,28.107,270.0,bottom
